"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GCA",1.04347888451236e-06,0.279612774949122,0.201,0.166,0.0391179364225992
"STAT1",1.23880876975903e-06,0.334703232464707,0.251,0.216,0.0464404631607264
"OCIAD2",1.70719459020638e-06,0.317500647206171,0.377,0.362,0.0639993107976567
"SELENOF",2.39267967071449e-06,0.288036521925978,0.218,0.182,0.089696775495745
"SEPT6",2.49566841335707e-06,0.261068631101194,0.458,0.451,0.09355761747993
"KIAA1551",3.24496845534612e-06,0.278942881025573,0.246,0.212,0.121647377454015
"WSB1",3.85783294175917e-06,0.268959042119918,0.359,0.335,0.144622441320668
"LAPTM4A",3.98888603397654e-06,0.263117287009979,0.375,0.36,0.149535359641713
"PHF20",4.08838118126575e-06,0.258050962149269,0.266,0.235,0.15326523372329
"TRIR",4.7695456840096e-06,0.252383984413876,0.24,0.203,0.178800728602152
"IFNGR2",5.53434635714829e-06,0.252966416925306,0.265,0.234,0.207471576236775
"MARCKS",6.69552402724089e-06,0.268277523125279,0.193,0.161,0.251001804733206
"NBDY",7.56616186791019e-06,0.267513006484533,0.119,0.091,0.283640276104217
"TAGAP",1.56731371297791e-05,0.323421838795263,0.288,0.263,0.58755456472116
"VPS35",1.84490601146589e-05,0.270921125955518,0.232,0.203,0.691618365578334
"ATP5F1A",2.11387476256793e-05,0.258107510825893,0.196,0.165,0.792449370991467
"LPXN",4.27168017470263e-05,0.280238204204902,0.265,0.243,1
"CYBC1",5.35089569660982e-05,0.272217623409717,0.162,0.134,1
"BBX",5.70359497653106e-05,0.251327282600734,0.265,0.239,1
"LMBRD1",6.46480466530603e-05,0.28121901055932,0.233,0.209,1
"MAX",7.44807842407421e-05,0.271441750737854,0.207,0.182,1
"KMT2E",0.000114261480150692,0.258970339767554,0.43,0.432,1
"SSH2",0.000120725457138099,0.28478916114965,0.192,0.166,1
"SASH3",0.000154957536577131,0.255675979503511,0.268,0.247,1
"SF3B1",0.000233964517011504,0.286492700234948,0.343,0.335,1
